Author Name,Brand,Category,Views,Likes,Shares,Saves,Followers
bethanyreview,The originote,มาส์กหน้า,1600000,66800,841,6093,16200
bethanyreview,cintageshop,เสื้อกันหนาว,486800,71700,911,9214,16200
bethanyreview,dazzleme,แป้ง,9600000,102700,7573,21462,16200
bethanyreview,dazzleme,แป้งแต่งหน้า,5200000,254700,20800,50443,16200
bethanyreview,in2it,ไพรเมอร์เบลอรูขุมขน,1300000,78000,522,6967,16200
lookhmee.review,beautilab,บลัชออน,2600000,64600,6183,7909,33100
lookhmee.review,dazzleme,ลิปกลอส,18900000,269700,18179,42699,33100
lookhmee.review,kage,เครื่องสำอาง,4700000,85900,7365,16698,33100
lookhmee.review,lookhmee.review,น้ำหอม,1100000,77900,447,11773,33100
lookhmee.review,odbo,ลิปทินท์,773500,90200,3374,9442,33100
lookhmee.review,ohmytint,ลิปทิ้นท์,4800000,60300,4296,12534,33100
lookhmee.review,withat,น้ำยาปรับผ้านุ่ม,1500000,103100,1041,14068,33100
lookhmee.review,กาล่า,เครื่องสำอาง,6400000,79200,5485,10863,33100
lookhmee.review,จอนสัน,เบบี้ออยล์,952200,60300,2249,5340,33100
mintps_,EXO,คอนเสิร์ต,334500,61000,1780,3281,70400
mintps_,Hello Kitty,สินค้าสำหรับเด็ก,553400,58900,7970,6475,70400
mintps_,Hello Kitty,เสื้อผ้า,776700,90400,3271,11823,70400
mintps_,LONSDALEITE,คอนเสิร์ต,893600,151200,2467,6989,70400
mintps_,LONSDALEITE,สินค้าสำหรับแฟนคลับ,893500,151200,2466,6989,70400
mintps_,MatterMakers,เครื่องแต่งกาย,1100000,110600,17400,13074,70400
mintps_,MatterMakers,เสื้อผ้า,1100000,110600,17400,13074,70400
mintps_,PATHTCHA_OFFICIAL,เสื้อผ้า,715800,66600,2536,13334,70400
mintps_,WALKIN.SHOE,รองเท้า,641900,48700,2645,9857,70400
mintps_,mintps_,การจัดแต่งทรงผม,1200000,97900,2683,27855,70400
mintps_,mintps_,ชุดที่ใส่,776600,90400,3271,11822,70400
mintps_,mintps_,ทรงผม,1200000,97900,2683,27852,70400
mintps_,mintps_,เครื่องแต่งกาย,1400000,57000,4013,10799,70400
mintps_,sasi,ลิปทินท์,1200000,49000,310,1633,70400
muknutkamon,Deesay,คุชชั่น,6700000,531300,42400,91249,232200
muknutkamon,L'Oréal,คุชชั่น,22800000,278600,28200,57522,226500
muknutkamon,L'Oréal,เครื่องสำอาง,22800000,279200,28300,57594,232200
muknutkamon,Supermom,เครื่องสำอาง,4300000,491400,22700,165777,232200
muknutkamon,muknutkamon,ความงาม,1200000,227400,8867,9922,232200
muknutkamon,muknutkamon,คอนเทนต์,4500000,326500,12600,130096,232200
muknutkamon,muknutkamon,บันเทิง,5100000,408400,13800,9647,232200
muknutkamon,muknutkamon,เครื่องสำอาง,1200000,227400,8866,9925,226500
muknutkamon,muknutkamon,เนื้อหา,4500000,326000,12600,129920,226500
muknutkamon,muknutkamon,เนื้อหาทั่วไป,13000000,895000,17947,17438,232200
muknutkamon,muknutkamon,เนื้อหาที่เข้าถึงได้,5100000,408200,13800,9637,226500
muknutkamon,muknutkamon,แมว,4000000,475000,2046,18505,232200
muknutkamon,muknutkamon,ไม่มีการระบุหมวดหมู่สินค้า,6500000,447500,8973,8718,226500
muknutkamon,muknutkamon,ไม่ระบุ,4600000,829700,45271,103305,232200
